Maker,Place,State
Ajanta Manufacturing,Morbi,Gujarat
Altigreen Propulsion Labs,Bengaluru,Karnataka
Ampere Vehicles,Coimbatore,Tamil Nadu
Ashok Leyland,Chennai,Tamil Nadu
Ashok Leyland (EV Bus),Alwar,Rajasthan
Ather Energy,Bengaluru,Karnataka
Atul Auto,Rajkot,Gujarat
Audi India,Aurangabad,Maharashtra
Bajaj Auto,Pune,Maharashtra
Bajaj Auto (EV),Akurdi,Maharashtra
Bharat Forge,Pune,Maharashtra
Bosch India,Bengaluru,Karnataka
BYD India,Sriperumbudur,Tamil Nadu
Citroën India,Thiruvallur,Tamil Nadu
Dilli Electric Auto Pvt Ltd,New Delhi,Delhi
Electrotherm India,Ahmedabad,Gujarat
Etrio Automobiles,Hyderabad,Telangana
Euler Motors,New Delhi,Delhi
Exide Industries,Kolkata,West Bengal
Force Motors,Pune,Maharashtra
Gayam Motor Works,Hyderabad,Telangana
Greaves Cotton,Mumbai,Maharashtra
Greaves Electric Mobility,Coimbatore,Tamil Nadu
Hero Electric,New Delhi,Delhi
Hero MotoCorp,Dharuhera,Haryana
Hindustan Motors,Uttarpara,West Bengal
HOP Electric Mobility,Jaipur,Rajasthan
Hyundai Motor India,Chennai,Tamil Nadu
JBM Auto,Faridabad,Haryana
Jezza Motors,Kolkata,West Bengal
JSW Energy,Mumbai,Maharashtra
Kia Motors India,Anantapur,Andhra Pradesh
Kinetic Green (3-Wheeler),Ahmednagar,Maharashtra
Kinetic Green Energy,Pune,Maharashtra
Lohia Auto Industries,Kashipur,Uttarakhand
Mahindra Electric,Bengaluru,Karnataka
Mahindra Reva,Bengaluru,Karnataka
Maruti Suzuki India,Manesar,Haryana
Mercedes-Benz India,Chakan,Maharashtra
MG Motor India,Halol,Gujarat
Minda Industries,Pune,Maharashtra
Okinawa Autotech,Bhiwadi,Rajasthan
Ola Electric,Krishnagiri,Tamil Nadu
Olectra Greentech,Hyderabad,Telangana
Omega Seiki Mobility,Faridabad,Haryana
Piaggio Vehicles,Baramati,Maharashtra
Renault India,Chennai,Tamil Nadu
Revolt Motors,Gurgaon,Haryana
Royal Enfield,Chennai,Tamil Nadu
Saera Electric Auto,Bhiwadi,Rajasthan
Simple Energy,Bengaluru,Karnataka
SML Isuzu,Ropar,Punjab
Tata AutoComp Systems,Pune,Maharashtra
Tata Motors,Pune,Maharashtra
Tata Power,Mumbai,Maharashtra
Terra Motors India,Gurugram,Haryana
Triton Electric,Bhuj,Gujarat
TVS Electronics,Chennai,Tamil Nadu
TVS Motor Company,Hosur,Tamil Nadu
Volvo Eicher,Pithampur,Madhya Pradesh
YC Electric Vehicle,Delhi,Delhi
