StateID,State,MakerCount,MakersList,NoOfOperationalPCs
1,Andhra Pradesh,1,Kia Motors India,327
2,Delhi,4,"Dilli Electric Auto Pvt Ltd, Euler Motors, Hero Electric, YC Electric Vehicle",1886
3,Gujarat,5,"Ajanta Manufacturing, Atul Auto, Electrotherm India, MG Motor India, Triton Electric",476
4,Haryana,6,"Hero MotoCorp, JBM Auto, Maruti Suzuki India, Omega Seiki Mobility, Revolt Motors, Terra Motors India",377
5,Karnataka,6,"Altigreen Propulsion Labs, Ather Energy, Bosch India, Mahindra Electric, Mahindra Reva, Simple Energy",1041
6,Madhya Pradesh,1,Volvo Eicher,341
7,Maharashtra,15,"Audi India, Bajaj Auto, Bajaj Auto (EV), Bharat Forge, Force Motors, Greaves Cotton, JSW Energy, Kinetic Green (3-Wheeler), Kinetic Green Energy, Mercedes-Benz India, Minda Industries, Piaggio Vehicles, Tata AutoComp Systems, Tata Motors, Tata Power",3079
8,Punjab,1,SML Isuzu,158
9,Rajasthan,4,"Ashok Leyland (EV Bus), HOP Electric Mobility, Okinawa Autotech, Saera Electric Auto",500
10,Tamil Nadu,11,"Ampere Vehicles, Ashok Leyland, BYD India, Citroën India, Greaves Electric Mobility, Hyundai Motor India, Ola Electric, Renault India, Royal Enfield, TVS Electronics, TVS Motor Company",643
11,Telangana,3,"Etrio Automobiles, Gayam Motor Works, Olectra Greentech",481
12,Uttarakhand,1,Lohia Auto Industries,76
13,West Bengal,3,"Exide Industries, Hindustan Motors, Jezza Motors",318
